"",epoch,loss,ppl,wps,ups,wpb,bsz,num_updates,lr,gnorm,clip,oom,loss_scale,wall,train_wall,ke_loss,mlm_loss
105,116,0.318,1.25,7658,0,1234385.6,4509.6,530,0.000376,0.272,0.0,0.0,32.0,86858,148198,0.317474,0.000214
106,117,0.317,1.25,7566,0,1234385.6,4509.6,535,0.000373,0.269,0.0,0.0,32.0,87698,148980,0.317075,0.000239
107,118,0.321,1.25,7605,0,1234385.6,4509.6,540,0.000370,0.467,0.0,0.0,32.0,88531,149758,0.320577,0.000255
108,119,0.320,1.25,7535,0,1234385.6,4509.6,545,0.000368,0.528,0.0,0.0,32.0,89378,150541,0.320172,0.000235
109,120,0.325,1.25,7588,0,1234385.6,4509.6,550,0.000365,0.731,0.0,0.0,32.0,90214,151319,0.325120,0.000185
110,121,0.320,1.25,7612,0,1234385.6,4509.6,555,0.000363,0.330,0.0,0.0,32.0,91051,152099,0.319355,0.000216
111,122,0.319,1.25,7658,0,1234385.6,4509.6,560,0.000360,0.381,0.0,0.0,32.0,91880,152873,0.318644,0.000218
112,123,0.318,1.25,7585,0,1234385.6,4509.6,565,0.000357,0.260,0.0,0.0,32.0,92718,153653,0.317216,0.000601
113,124,0.318,1.25,7625,0,1234385.6,4509.6,570,0.000355,0.314,0.0,0.0,32.0,93550,154429,0.317463,0.000469
114,125,0.316,1.25,7579,0,1234385.6,4509.6,575,0.000352,0.222,0.0,0.0,32.0,94389,155211,0.315953,0.000471
115,126,0.315,1.24,7607,0,1234385.6,4509.6,580,0.000350,0.265,0.0,0.0,32.0,95224,155989,0.314912,0.000316
116,127,0.314,1.24,7613,0,1234385.6,4509.6,585,0.000347,0.244,0.0,0.0,32.0,96059,156767,0.314124,0.000214
117,128,0.315,1.24,7710,0,1234385.6,4509.6,590,0.000344,0.332,0.0,0.0,32.0,96885,157539,0.314179,0.000325
118,129,0.314,1.24,7612,0,1234385.6,4509.6,595,0.000342,0.317,0.0,0.0,32.0,97721,158319,0.313710,0.000217
119,130,0.315,1.24,7666,0,1234385.6,4509.6,600,0.000339,0.476,0.0,0.0,32.0,98556,159099,0.314938,0.000316
120,131,0.314,1.24,7593,0,1234385.6,4509.6,605,0.000337,0.468,0.0,0.0,32.0,99396,159883,0.313809,0.000267
121,132,0.317,1.25,7563,0,1234385.6,4509.6,610,0.000334,0.492,0.0,0.0,32.0,100236,160665,0.316739,0.000195
122,133,0.313,1.24,7510,0,1234385.6,4509.6,615,0.000331,0.303,0.0,0.0,32.0,101084,161453,0.312809,0.000269
123,134,0.315,1.24,7631,0,1234385.6,4509.6,620,0.000329,0.485,0.0,0.0,32.0,101919,162233,0.314467,0.000166
124,135,0.313,1.24,7577,0,1234385.6,4509.6,625,0.000326,0.417,0.0,0.0,32.0,102759,163019,0.312387,0.000252
125,136,0.312,1.24,7569,0,1234385.6,4509.6,630,0.000323,0.418,0.0,0.0,32.0,103599,163799,0.312163,0.000131
126,137,0.311,1.24,7598,0,1234385.6,4509.6,635,0.000321,0.273,0.0,0.0,32.0,104436,164578,0.310634,0.000241
127,138,0.310,1.24,7680,0,1234385.6,4509.6,640,0.000318,0.304,0.0,0.0,64.0,105265,165353,0.309569,0.000194
128,139,0.310,1.24,7545,0,1234385.6,4509.6,645,0.000316,0.374,0.0,0.0,64.0,106110,166139,0.309949,0.000179
129,140,0.310,1.24,7511,0,1234385.6,4509.6,650,0.000313,0.271,0.0,0.0,64.0,106962,166928,0.309455,0.000197
130,141,0.310,1.24,7582,0,1234385.6,4509.6,655,0.000310,0.348,0.0,0.0,64.0,107800,167711,0.310181,0.000126
131,142,0.308,1.24,7603,0,1234385.6,4509.6,660,0.000308,0.254,0.0,0.0,64.0,108635,168488,0.308303,0.000188
132,143,0.309,1.24,7765,0,1234385.6,4509.6,665,0.000305,0.337,0.0,0.0,64.0,109446,169245,0.309288,0.000204
133,144,0.309,1.24,7588,0,1234385.6,4509.6,670,0.000303,0.297,0.0,0.0,64.0,110287,170030,0.309099,0.000177
134,145,0.310,1.24,7640,0,1234385.6,4509.6,675,0.000300,0.342,0.0,0.0,64.0,111121,170808,0.309929,0.000214
135,146,0.309,1.24,7687,0,1234385.6,4509.6,680,0.000297,0.348,0.0,0.0,64.0,111948,171581,0.308593,0.000129
136,147,0.307,1.24,7553,0,1234385.6,4509.6,685,0.000295,0.224,0.0,0.0,64.0,112792,172365,0.306664,0.000121
137,148,0.307,1.24,7606,0,1234385.6,4509.6,690,0.000292,0.403,0.0,0.0,64.0,113631,173145,0.306946,0.000192
138,149,0.306,1.24,7587,0,1234385.6,4509.6,695,0.000290,0.276,0.0,0.0,64.0,114470,173927,0.306042,0.000144
139,150,0.306,1.24,7671,0,1234385.6,4509.6,700,0.000287,0.246,0.0,0.0,64.0,115300,174701,0.305601,0.000114
140,151,0.305,1.24,7455,0,1234385.6,4509.6,705,0.000284,0.306,0.0,0.0,64.0,116150,175489,0.305358,0.000133
141,152,0.305,1.24,7640,0,1234385.6,4509.6,710,0.000282,0.235,0.0,0.0,64.0,116983,176266,0.304538,0.000140
142,153,0.305,1.24,7598,0,1234385.6,4509.6,715,0.000279,0.357,0.0,0.0,64.0,117820,177047,0.305211,0.000091
143,154,0.306,1.24,7657,0,1234385.6,4509.6,720,0.000277,0.437,0.0,0.0,64.0,118653,177821,0.306244,0.000103
144,155,0.307,1.24,7560,0,1234385.6,4509.6,725,0.000274,0.440,0.0,0.0,64.0,119495,178605,0.306534,0.000201
145,156,0.304,1.23,7654,0,1234385.6,4509.6,730,0.000271,0.240,0.0,0.0,64.0,120328,179382,0.303724,0.000189
146,157,0.303,1.23,7590,0,1234385.6,4509.6,735,0.000269,0.243,0.0,0.0,64.0,121167,180164,0.303129,0.000098
147,158,0.303,1.23,7470,0,1234385.6,4509.6,740,0.000266,0.262,0.0,0.0,64.0,122018,180957,0.302411,0.000143
148,159,0.301,1.23,7241,0,1234385.6,4509.6,745,0.000263,0.214,0.0,0.0,64.0,122891,181757,0.300629,0.000164
149,160,0.302,1.23,7240,0,1234385.6,4509.6,750,0.000261,0.225,0.0,0.0,64.0,123761,182562,0.301624,0.000136
150,161,0.301,1.23,6717,0,1234385.6,4509.6,755,0.000258,0.197,0.0,0.0,64.0,124704,183423,0.301003,0.000114
151,162,0.302,1.23,6739,0,1234385.6,4509.6,760,0.000256,0.235,0.0,0.0,64.0,125647,184288,0.301453,0.000105
152,163,0.301,1.23,6738,0,1234385.6,4509.6,765,0.000253,0.241,0.0,0.0,64.0,126590,185146,0.300523,0.000085
153,164,0.303,1.23,6954,0,1234385.6,4509.6,770,0.000250,0.333,0.0,0.0,128.0,127489,185971,0.302824,0.000121
154,165,0.302,1.23,6944,0,1234385.6,4509.6,775,0.000248,0.282,0.0,0.0,128.0,128407,186810,0.302158,0.000114
155,166,0.302,1.23,7589,0,1234385.6,4509.6,780,0.000245,0.253,0.0,0.0,128.0,129247,187591,0.301832,0.000127
156,167,0.300,1.23,7642,0,1234385.6,4509.6,785,0.000243,0.197,0.0,0.0,128.0,130076,188365,0.300080,0.000167
157,168,0.300,1.23,7665,0,1234385.6,4509.6,790,0.000240,0.206,0.0,0.0,128.0,130910,189143,0.299980,0.000136
158,169,0.299,1.23,7636,0,1234385.6,4509.6,795,0.000237,0.170,0.0,0.0,128.0,131740,189918,0.299127,0.000178
159,170,0.300,1.23,7673,0,1234385.6,4509.6,800,0.000235,0.260,0.0,0.0,128.0,132572,190695,0.299402,0.000155
160,171,0.299,1.23,7693,0,1234385.6,4509.6,805,0.000232,0.197,0.0,0.0,128.0,133400,191466,0.298611,0.000148
161,172,0.300,1.23,7714,0,1234385.6,4509.6,810,0.000230,0.236,0.0,0.0,128.0,134227,192240,0.299529,0.000102
162,173,0.300,1.23,7734,0,1234385.6,4509.6,815,0.000227,0.323,0.0,0.0,128.0,135053,193010,0.300002,0.000103
163,174,0.300,1.23,7578,0,1234385.6,4509.6,820,0.000224,0.302,0.0,0.0,128.0,135890,193787,0.300000,0.000109
164,175,0.298,1.23,7675,0,1234385.6,4509.6,825,0.000222,0.159,0.0,0.0,128.0,136723,194563,0.298068,0.000110
165,176,0.298,1.23,8043,0,1234385.6,4509.6,830,0.000219,0.182,0.0,0.0,128.0,137525,195310,0.297699,0.000131
166,177,0.297,1.23,7671,0,1234385.6,4509.6,835,0.000217,0.177,0.0,0.0,128.0,138357,196085,0.297234,0.000094
167,178,0.297,1.23,7209,0,1234385.6,4509.6,840,0.000214,0.222,0.0,0.0,128.0,139238,196906,0.296967,0.000110
168,179,0.297,1.23,7066,0,1234385.6,4509.6,845,0.000211,0.183,0.0,0.0,128.0,140132,197736,0.297375,0.000095
169,180,0.297,1.23,7691,0,1234385.6,4509.6,850,0.000209,0.217,0.0,0.0,128.0,140965,198510,0.297145,0.000086
170,181,0.298,1.23,7820,0,1234385.6,4509.6,855,0.000206,0.298,0.0,0.0,128.0,141785,199275,0.298181,0.000081
171,182,0.296,1.23,7696,0,1234385.6,4509.6,860,0.000203,0.184,0.0,0.0,128.0,142613,200049,0.296348,0.000067
172,183,0.297,1.23,7662,0,1234385.6,4509.6,865,0.000201,0.173,0.0,0.0,128.0,143446,200820,0.296605,0.000079
173,184,0.296,1.23,7657,0,1234385.6,4509.6,870,0.000198,0.203,0.0,0.0,128.0,144278,201595,0.296018,0.000149
174,185,0.296,1.23,7747,0,1234385.6,4509.6,875,0.000196,0.193,0.0,0.0,128.0,145102,202362,0.295578,0.000076
175,186,0.293,1.23,6055,0,1287847.75,4704.0,879,0.000194,0.164,0.0,0.0,64.0,145933,203140,0.292519,0.000546
176,187,0.300,1.23,7814,0,1234385.60,4509.6,884,0.000191,0.911,0.0,0.0,64.0,146752,203906,0.295815,0.004103
177,188,0.301,1.23,7638,0,1234385.60,4509.6,889,0.000188,0.309,0.0,0.0,64.0,147585,204683,0.299218,0.001843
178,189,0.300,1.23,7639,0,1234385.60,4509.6,894,0.000186,0.206,0.0,0.0,64.0,148415,205460,0.299104,0.001198
179,190,0.298,1.23,7729,0,1234385.60,4509.6,899,0.000183,0.243,0.0,0.0,64.0,149243,206231,0.297156,0.001197
180,191,0.298,1.23,7726,0,1234385.60,4509.6,904,0.000181,0.211,0.0,0.0,64.0,150069,207003,0.297080,0.000460
181,192,0.299,1.23,7703,0,1234385.60,4509.6,909,0.000178,0.263,0.0,0.0,64.0,150897,207778,0.296811,0.002540
182,193,0.298,1.23,7721,0,1234385.60,4509.6,914,0.000175,0.642,0.0,0.0,64.0,151722,208551,0.295066,0.002832
183,194,0.297,1.23,7663,0,1234385.60,4509.6,919,0.000173,0.266,0.0,0.0,64.0,152553,209329,0.295453,0.001751
184,195,0.297,1.23,7612,0,1234385.60,4509.6,924,0.000170,0.303,0.0,0.0,64.0,153390,210110,0.296504,0.000793
185,196,0.295,1.23,7586,0,1234385.60,4509.6,929,0.000167,0.237,0.0,0.0,64.0,154229,210891,0.294808,0.000569
186,197,0.295,1.23,7633,0,1234385.60,4509.6,934,0.000165,0.189,0.0,0.0,64.0,155065,211667,0.294635,0.000440
187,198,0.294,1.23,7632,0,1234385.60,4509.6,939,0.000162,0.185,0.0,0.0,64.0,155899,212445,0.293896,0.000254
188,199,0.294,1.23,7680,0,1234385.60,4509.6,944,0.000160,0.190,0.0,0.0,64.0,156732,213221,0.293353,0.000279
189,200,0.293,1.22,7591,0,1234385.60,4509.6,949,0.000157,0.196,0.0,0.0,64.0,157571,214003,0.292548,0.000168
190,201,0.293,1.23,6900,0,1234385.60,4509.6,954,0.000154,0.148,0.0,0.0,64.0,158491,214848,0.292619,0.000227
191,202,0.292,1.22,6642,0,1234385.60,4509.6,959,0.000152,0.170,0.0,0.0,64.0,159444,215714,0.291980,0.000116
192,203,0.292,1.22,6679,0,1234385.60,4509.6,964,0.000149,0.159,0.0,0.0,64.0,160395,216586,0.292183,0.000135
193,204,0.291,1.22,7033,0,1234385.60,4509.6,969,0.000147,0.135,0.0,0.0,64.0,161311,217426,0.291101,0.000164
194,205,0.292,1.22,6748,0,1234385.60,4509.6,974,0.000144,0.219,0.0,0.0,64.0,162253,218289,0.291513,0.000245
195,206,0.291,1.22,6736,0,1234385.60,4509.6,979,0.000141,0.203,0.0,0.0,64.0,163196,219150,0.291276,0.000117
196,207,0.292,1.22,6593,0,1234385.60,4509.6,984,0.000139,0.219,0.0,0.0,64.0,164153,220025,0.291586,0.000091
197,208,0.291,1.22,6718,0,1234385.60,4509.6,989,0.000136,0.240,0.0,0.0,64.0,165097,220891,0.291298,0.000060
198,209,0.291,1.22,7248,0,1234385.60,4509.6,994,0.000134,0.153,0.0,0.0,64.0,165991,221703,0.290878,0.000080
199,210,0.291,1.22,7580,0,1234385.60,4509.6,999,0.000131,0.173,0.0,0.0,64.0,166826,222482,0.291039,0.000084
200,211,0.291,1.22,6630,0,1234385.6,4509.6,1004,0.000128,0.137,0.0,0.0,64.0,167779,223351,0.290979,0.000133
201,212,0.291,1.22,7177,0,1234385.6,4509.6,1009,0.000126,0.143,0.0,0.0,128.0,168678,224171,0.291140,0.000054
202,213,0.291,1.22,7607,0,1234385.6,4509.6,1014,0.000123,0.171,0.0,0.0,128.0,169517,224950,0.291008,0.000051
203,214,0.290,1.22,7507,0,1234385.6,4509.6,1019,0.000121,0.184,0.0,0.0,128.0,170364,225738,0.290302,0.000082
204,215,0.292,1.22,7584,0,1234385.6,4509.6,1024,0.000118,0.266,0.0,0.0,128.0,171204,226521,0.291552,0.000087
205,216,0.291,1.22,7655,0,1234385.6,4509.6,1029,0.000115,0.223,0.0,0.0,128.0,172039,227299,0.291121,0.000045
206,217,0.291,1.22,7581,0,1234385.6,4509.6,1034,0.000113,0.203,0.0,0.0,128.0,172882,228084,0.290497,0.000045
207,218,0.290,1.22,7585,0,1234385.6,4509.6,1039,0.000110,0.239,0.0,0.0,128.0,173723,228865,0.290287,0.000056
